year,state,total_votes,dem,rep,other
1992,HI,372842,0.48092757790163100,0.3669704593366630,0.15210196276170600
1992,IA,1354607,0.43285838623305500,0.37272138708865400,0.1944202266782910
1992,ID,482114,0.2841921205358070,0.4203258980241190,0.2954819814400740
1992,IL,5050157,0.48579677819917300,0.3433746713221000,0.17082419417851800
1992,IN,2305871,0.3679390564346400,0.42906780127769500,0.20228928678143700
1992,KS,1157236,0.3373849413602760,0.38881524598266900,0.2736451337497280
1992,KY,1492900,0.4455114207247640,0.4134088016611960,0.14104829526425100
1992,LA,1790017,0.4558453914124840,0.40970895807134800,0.13444565051616800
1992,MA,2773664,0.47541410927927800,0.2902438795758970,0.23434201114482500
1992,MD,1984580,0.4981260518598390,0.3562940269477670,0.14557992119239300
1992,ME,679499,0.3876679730213000,0.30390626034769700,0.30842576663100300
1992,MI,4274673,0.43773687484399400,0.36375647915056900,0.19829282848068100
1992,MN,2347948,0.4348465127847810,0.3185083315303410,0.24558082206249900
1992,MO,2391270,0.4407168575694090,0.3392168178415650,0.22006632458902600
1992,MS,981793,0.40768064143867400,0.4968389467026150,0.09548041185871160
1992,MT,410583,0.3763112452293450,0.3512249654759210,0.2724637892947350
1992,NC,2611850,0.42653368302161300,0.43442808737102100,0.13903822960736600
1992,ND,308133,0.32183505174713500,0.442159716745691,0.23600523150717400
1992,NE,737546,0.29403454157435600,0.4659750035929960,0.23999045483264800
1992,NH,537215,0.38911795091350800,0.37691427082266900,0.23396777826382400
1992,NJ,3343594,0.42953959123027500,0.40581033462794800,0.1646500741417770
1992,NM,569986,0.45898846638338500,0.37338460944654800,0.16762692417006700
1992,NV,506318,0.3735754999822250,0.34726792253090000,0.27915657748687600
1992,NY,7079432,0.48654327070307300,0.3314741917148160,0.1819825375821110
1992,OH,4939967,0.4018128056321020,0.38346612436884700,0.21471256791796400
1992,OK,1390359,0.3402473749585540,0.4264574832830950,0.23329514175835200
1992,OR,1462643,0.42478855058958300,0.32527212723815700,0.24886934132252400
1992,PA,4959810,0.45146164873251200,0.3612721051814490,0.1872662460860400
1992,RI,453365,0.4704796356136890,0.29027604689378300,0.23924431749252800
1992,SC,1228912,0.4276254117463250,0.46993356725298500,0.10244102100069000
1992,SD,336254,0.37140970813730100,0.4065914457523180,0.22199884611038100
1992,TN,1982638,0.47084793088803900,0.42433364033172000,0.1047372238401560
1992,TX,6154018,0.37078458334051000,0.40560021111410500,0.22334676304164200
